"Probe","R_lowLM","P_lowLM","R_highLM","P_highLM","Gene"
"TC01001090.hg.1",-0.185683595805823,"Not-Significant",0.692217185361808,"Significant","TXNIP"
"TC01001305.hg.1",0.391612444564005,"Not-Significant",0.464357864584696,"Significant","DAP3"
"TC01001685.hg.1",0.150752564440131,"Not-Significant",0.751379499898128,"Significant","BTG2"
"TC01002828.hg.1",-0.113839026405196,"Not-Significant",0.433055208765654,"Significant","BCL10"
"TC01003205.hg.1",-0.122928109349769,"Not-Significant",0.551133787362255,"Significant","MCL1"
"TC01005816.hg.1",-0.255500430033463,"Not-Significant",0.817972377723872,"Significant","MCL1"
"TC02002219.hg.1",0.557178054777535,"Not-Significant",0.623011646800373,"Significant","IL1B"
"TC02003765.hg.1",0.0582134889114485,"Not-Significant",0.513353078217529,"Significant","CFLAR"
"TC02005028.hg.1",-0.174307744414081,"Not-Significant",0.725435917613508,"Significant","PPP3R1"
"TC03003211.hg.1",-0.194002115786059,"Not-Significant",0.418047263629567,"Significant","TNFSF10"
"TC05001831.hg.1",0.0774947869331367,"Not-Significant",0.636425956598068,"Significant","ETF1"
"TC05001861.hg.1",0.0816501100531816,"Not-Significant",0.431197639701988,"Significant","CD14"
"TC06001152.hg.1",-0.167075031986622,"Not-Significant",0.719114236101577,"Significant","IGF2R"
"TC06001510.hg.1",-0.255656451225732,"Not-Significant",0.413314795423244,"Significant","IER3"
"TC06001574.hg.1",-0.265031396839909,"Not-Significant",0.649892530038511,"Significant","TAP1"
"TC06002152.hg.1",-0.271262091012575,"Not-Significant",0.602418666530047,"Significant","IFNGR1"
"TC06004141.hg.1",0.427547572549819,"Not-Significant",0.742857759645265,"Significant","SOD2"
"TC08000200.hg.1",0.186133104316452,"Not-Significant",0.547149030034031,"Significant","BNIP3L"
"TC08001044.hg.1",0.108880833722856,"Not-Significant",0.440527939637041,"Significant","EGR3"
"TC08001081.hg.1",0.0157877695906476,"Not-Significant",-0.439228411747058,"Significant","CLU"
"TC08001110.hg.1",-0.198596832591896,"Not-Significant",0.46916686371046,"Significant","GSR"
"TC08002253.hg.1",0.321170377344413,"Not-Significant",0.565984193334951,"Significant","EGR3"
"TC09000134.hg.1",-0.187397557829325,"Not-Significant",0.623332494610794,"Significant","DNAJA1"
"TC09000335.hg.1",0.247240094813602,"Not-Significant",0.416639745569337,"Significant","ANXA1"
"TC0X001624.hg.1",0.104479065020997,"Not-Significant",0.580354671310251,"Significant","SAT1"
"TC10000485.hg.1",-0.132519989215677,"Not-Significant",0.607686079853253,"Significant","VDAC2"
"TC10000808.hg.1",-0.213997426922945,"Not-Significant",0.583628159874522,"Significant","PDCD4"
"TC10000928.hg.1",-0.123115693034961,"Not-Significant",-0.400544868155742,"Significant","MGMT"
"TC10002137.hg.1",-0.14042082479408,"Not-Significant",0.676828475066759,"Significant","VDAC2"
"TC11000332.hg.1",0.498026728225274,"Not-Significant",0.673431022089335,"Significant","CD44"
"TC11001230.hg.1",0.173074991478507,"Not-Significant",0.462225066124346,"Significant","IFITM3"
"TC11001939.hg.1",-0.0524650270939771,"Not-Significant",0.581310131332909,"Significant","RELA"
"TC11002123.hg.1",-0.124153601326931,"Not-Significant",0.706234508970866,"Significant","PAK1"
"TC11002246.hg.1",0.41629878992716,"Not-Significant",0.409205412024029,"Significant","CASP4"
"TC11003206.hg.1",-0.0228860130932559,"Not-Significant",0.420472885097101,"Significant","RELA"
"TC11003207.hg.1",-0.145743597101435,"Not-Significant",0.575505995921835,"Significant","RELA"
"TC11003261.hg.1",0.00896153750979726,"Not-Significant",-0.523414690208711,"Significant","PAK1"
"TC11003505.hg.1",0.186802395087055,"Not-Significant",0.523304434397552,"Significant","CASP1"
"TC12001207.hg.1",0.434607109682718,"Not-Significant",0.439183700381547,"Significant","CD69"
"TC12001804.hg.1",0.149874713287835,"Not-Significant",-0.39939881332396,"Significant","DCN"
"TC13000336.hg.1",-0.132316744498881,"Not-Significant",0.480616289795327,"Significant","DNAJC3"
"TC14000323.hg.1",-0.313827506025487,"Not-Significant",0.418265390984278,"Significant","LGALS3"
"TC14000439.hg.1",-0.160599225971948,"Not-Significant",0.492076593581225,"Significant","PSEN1"
"TC14001693.hg.1",-0.280288915646362,"Not-Significant",0.44067609491142,"Significant","LGALS3"
"TC15001452.hg.1",-0.0480839646307299,"Not-Significant",-0.415864193728945,"Significant","BCL2L10"
"TC16000443.hg.1",0.196152833116855,"Not-Significant",0.40700575080705,"Significant","CYLD"
"TC16000823.hg.1",0.0428647746908327,"Not-Significant",0.668689805424766,"Significant","CREBBP"
"TC17002807.hg.1",-0.210385889909234,"Not-Significant",0.494843766515957,"Significant","TIMP2"
"TC18000397.hg.1",-0.0679160550581219,"Not-Significant",0.562021866706542,"Significant","ROCK1"
"TC18000595.hg.1",0.229227502713601,"Not-Significant",0.654588341546955,"Significant","ROCK1"
"TC19001938.hg.1",0.00481418901091602,"Not-Significant",0.499521077179869,"Significant","GADD45B"
"TC21000111.hg.1",-0.304382607995141,"Not-Significant",0.53313134036103,"Significant","SOD1"
"TC6_apd_hap1000105.hg.1",-0.249801339985025,"Not-Significant",0.644209306859042,"Significant","TAP1"
"TC6_cox_hap2000143.hg.1",-0.162206248734936,"Not-Significant",0.595160231472291,"Significant","IER3"
"TC6_cox_hap2000199.hg.1",-0.265031396839909,"Not-Significant",0.649892530038511,"Significant","TAP1"
"TC6_dbb_hap3000132.hg.1",-0.162206248734936,"Not-Significant",0.595160231472291,"Significant","IER3"
"TC6_dbb_hap3000185.hg.1",-0.249801339985025,"Not-Significant",0.644209306859042,"Significant","TAP1"
"TC6_mann_hap4000121.hg.1",-0.162206248734936,"Not-Significant",0.595160231472291,"Significant","IER3"
"TC6_mann_hap4000167.hg.1",-0.239412769156449,"Not-Significant",0.645620887450498,"Significant","TAP1"
"TC6_mcf_hap5000174.hg.1",-0.249801339985025,"Not-Significant",0.644209306859042,"Significant","TAP1"
"TC6_qbl_hap6000133.hg.1",-0.0851780865319481,"Not-Significant",0.558564405836749,"Significant","IER3"
"TC6_qbl_hap6000187.hg.1",-0.239412769156449,"Not-Significant",0.645620887450498,"Significant","TAP1"
"TC6_ssto_hap7000123.hg.1",-0.162206248734936,"Not-Significant",0.595160231472291,"Significant","IER3"
"TC6_ssto_hap7000169.hg.1",-0.26617232950997,"Not-Significant",0.63970127178878,"Significant","TAP1"
